owner,nftmint
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,JEFTCLMAx2zY9GVYBqfbuHUSWNnsBZu2EUwXg4nTMGxP
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,JCgo7UwkFP94V9a2XSptticbG2wCd75JEk4TPrDMgwGQ
GuYtBMQxSoLmMC7cMSZ341F9958k7oGGkv5ztsU985SX,JCcLg3MzyTExkZnCD9H5HtkMuE98n7C1Zz7KBznWbc7X
JD1CazPVERBfPVRkMcuDJdJULjPDMvWrjD1bPzwhdELt,JB2LFk7UcHdGBtceeMv1YcCwRsWg7gPQcrHLPkUH1mmS
2f4Tg3bCNq27CSDe5ZkPP5GLrb3YnSworUnvm9smTSjr,JA1LRhJPPd946teSyN1moLeFFrmcBzztd778juVYv4kM
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,J9UF7kgVm1u2VBSzwzrQeVJ2fU1vKnqg4bvqQo4hkYEz
Dgu7cbr2rB3F8RqRYEx5i8TgDv7M6AcjCGoB2txJqUQ3,J8dEyh2cKZg2XWTpkpD2CvfFyzRvgS6s2jgYw7MYnRrd
13SL6GULz6SnjAjzRdaArGrcHX4TWd4v66EKtWbYZi7r,J73nRYbsHSoUPGFuLPNyG7Rzy87TYJNsEJA3hgoiZnP9
HBjvu8uqanGRDXnBEw15cfgn3hZXeoovHPTJFsjE98PD,J4Zta6Px2dZmy5b5mAw616mLCrJV2qMSr32RyD9EHkZQ
6haWWSH9fVsuNmKbseStNR6tgQscp2dn1n3nwGUoFAFW,J4D7P4kvmzinYp3xrJKcEk9hhZsPjDDF3GVUPYqTVEst
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,J3zwZgH5cNEa2uTQ1g5yAX53574f6pQ33518YjtB2mhn
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,J3cpPo6DtTjo8eBn1aQfpiyxbMoGKYgnhN1HUGEnVjEm
BhYnskewPrZMizPRbxYFWS7m6RbWVGqMdp6jvDfeRB6n,J3VpQVUUBeTjgGu4usEwh5hRmDBn8f6FpXLSippg7iSv
HKiNeY14zzN5y9pVh4MQqphopzbV6cyTkPtPyC17XtHt,J32HUmNZ2B49swwqjBtr7RfWKYdRWks4tt82gp6eAoJv
GvP3yfbFYvSVRvYKDfWSc7hKt1sUf8F25XCGCRCbKB4e,J22AHJpn11Gej9S44L1QaoQfRk4CfhMBBr2j1t8VS4gT
J831GuJtTCiLNymq4RW9bsEjAujhFvqsDNXbcHP6uxdU,J1he7P3jFyKi6TYf3Ytq1SQwMEr8VvpXDFaGUyLsu2a7
52sDun8hQGAF3vDBcG3XLVMJkBL3vpXUpnhRsEsmyWUJ,HzQ6PYSfA87u4C5eFgtsswP7mDe449F2oXbuVzFYTbaa
AvDdm48vUmE9QS9HmmBcB3whj2RMmwKq5GBLG8YGQucR,HzBmoJRkiCtWUNuKcGjzic8tHKQ8R9AxMFV6KzunvLQz
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,HzAZWt3tz7r14BRdpMoW9hnXmj1c4jf6ab8wCW56BS12
GuYtBMQxSoLmMC7cMSZ341F9958k7oGGkv5ztsU985SX,HyrYmPnfU4x8cKRGC9ZwXuBfdemwhWC11sexpZLG1AZU
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HypSKQHt1gPm7voneuTzvpi4jKuxa8ZsYjKG6ceuajiv
B3pKWBvY9dZrjTQv43PnfYHjtGoD7MoQ4MDLHg6zBUA1,HwJKqQtfz9YJi1UKkQLyauxPMGctsMe29qTVG9N81Pzz
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HvXk3YtWAXvUYMbMLcLFKkpQgMfLn2TtGKbRQvezeR9J
EFnAHPX7wgFv2nZi2Zvy9a1Akb5xQGKvD1qQTo1XsC1f,HuzS8sdDHt45r5xAQi7jv7SpGFHW718oAkftcZnWwcuk
Eb2uw8yRw3fMvamKyjKtjnywoqoqxSvnyaFjBhKjEoqd,HuEEkFQqEGmgD5aAebnQcsb5H3s7GFP1d69kfpdSgChz
6j2Zuyj7kppyBjKQQdTV9vNi8cMvT9gSBGqiA9tUws9A,HtUPCSvELthHRJXj6aW7vUCjw88mwrWD24ZKK96RURxB
5sxGhiQLy6RBDkws5YfU1tfKjwK2A2Uwh6BfWQX7kqQ6,Hsfkp4miZTvwpYSDos5BT4AAtoBZNwF3nJsv16FuyCNw
GmFonBFUe4m8YEmd2rNsjxFCV5nNwFwN5s3PT1tR4rev,Hri9T76aKq6U5wrPLGPL2An9VLfakRK2d6De5Y3eY2sa
HoFFumsPaa8q6RTr1vLaM5yGofq3eqAw9zf9jsrStaKA,HrNswxWvs7EjGPFAQVbsbhM3M2MJwFFWwk4gbVJeBPiw
8kKPzAS4MBL2R5Ec9G2gCqfW417ysxkQw1GhhXDjAeBL,HrJbaTMJLgjKdx5XeqGwRP9s38DXckZj3tn398b91hyA
HKiNeY14zzN5y9pVh4MQqphopzbV6cyTkPtPyC17XtHt,HqsmdFuRGRMCAwFTYry1g7bDPLYU99bkj2ejhQnwuH19
AoreNexECTGA3RJ6h8kjc3ZY9DRGzBW4oPBtu9FUNyim,HpVu13MY5TU6fCLhvYFVKfrqVFN9ru6FxgpVjWwT4WXE
4Q3oRtCkEDd2pePFytmKn7XYSaY9FSYxzftJsTYLAsRM,HnH3Qk9asETYnCW8EiuRLrnqZsNRSqrFw5mpStW6UfLa
ECZzWXVnqfYcVoWgWT59rzeNpkveZZ63dYwkW9oSoHM7,Hm23zZQD9r9zx7SsUgWCaWUZAC9o9CciYqX9pxyuKsG6
A835Xf7MtaQqwpiKqLBhkPs3Lf2tR2j56S5BCjvJQqhE,HktheypqSi2feLtazX9Rhb9D8nqDn6ztLuaAqmmCckuc
GuYtBMQxSoLmMC7cMSZ341F9958k7oGGkv5ztsU985SX,Hkt9ecA9Xf3gdYhqonWUMqceNBToH2zwFige8gFkXA6U
542t7VBdYcHvromaaeqdx8g7x8k5nPLeY3jYUkA7zALJ,HkSJQtKpK8w6iMBPCYRWT2uL1R3o9DP1HH7yc4FoeHza
Bevy5eT6y4gss2j9ghgUnFQRU6p7BhjAMz4JvQPufSzs,Hjv5FA2FSRJkvitFfgaWVpSiuXA7iJQkmzAHkakYboPB
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HjqkJEJfE2TsaN6uzN52zc7YeAqzxW9ibg9QZZs5GSgt
